player_display,first,last,suffix,position,nfl_team,name_key,source,adp_value,adp_min,adp_max,adp_n,adp_rank,as_of,sleeper_raw_name_key,sleeper_match_key_name,adp_usable_for_survival
Zachariah Branch,Zachariah,Branch,,WR,ATL,zachariah branch,Sleeper,210.0,,,,210,2026-09-05,zachariah branch,zachariah branch,True
Devin Neal,Devin,Neal,,RB,FA,devin neal,Sleeper,211.0,,,,211,2026-09-05,devin neal,devin neal,True
Nicholas Singleton,Nicholas,Singleton,,RB,TEN,nicholas singleton,Sleeper,212.0,,,,212,2026-09-05,nicholas singleton,nicholas singleton,True
Jauan Jennings,Jauan,Jennings,,WR,MIN,jauan jennings,Sleeper,213.0,,,,213,2026-09-05,jauan jennings,jauan jennings,True
Jaylin Noel,Jaylin,Noel,,WR,HOU,jaylin noel,Sleeper,214.0,,,,214,2026-09-05,jaylin noel,jaylin noel,True
Kaleb Johnson,Kaleb,Johnson,,RB,GB,kaleb johnson,Sleeper,216.0,,,,216,2026-09-05,kaleb johnson,kaleb johnson,True
Malachi Fields,Malachi,Fields,,WR,NYG,malachi fields,Sleeper,218.0,,,,218,2026-09-05,malachi fields,malachi fields,True
Jake Elliott,Jake,Elliott,,K,PHI,jake elliott,Sleeper,220.0,,,,220,2026-09-05,jake elliott,jake elliott,True
Marvin Mims Jr.,Marvin,Mims,JR,WR,DEN,marvin mims,Sleeper,221.0,,,,221,2026-09-05,marvin mims,marvin mims jr,True
Najee Harris,Najee,Harris,,RB,NYG,najee harris,Sleeper,222.0,,,,222,2026-09-05,najee harris,najee harris,True
Chase McLaughlin,Chase,McLaughlin,,K,TB,chase mclaughlin,Sleeper,223.0,,,,223,2026-09-05,chase mclaughlin,chase mclaughlin,True
Kyle Williams,Kyle,Williams,,WR,NE,kyle williams,Sleeper,225.0,,,,225,2026-09-05,kyle williams,kyle williams,True
Ray Davis,Ray,Davis,,RB,BUF,ray davis,Sleeper,226.0,,,,226,2026-09-05,ray davis,ray davis,True
David Njoku,David,Njoku,,TE,LAC,david njoku,Sleeper,227.0,,,,227,2026-09-05,david njoku,david njoku,True
J.J. McCarthy,J.J.,McCarthy,,QB,MIN,jj mccarthy,Sleeper,228.0,,,,228,2026-09-05,jj mccarthy,jj mccarthy,True
Mason Taylor,Mason,Taylor,,TE,NYJ,mason taylor,Sleeper,229.0,,,,229,2026-09-05,mason taylor,mason taylor,True
Kendre Miller,Kendre,Miller,,RB,NO,kendre miller,Sleeper,230.0,,,,230,2026-09-05,kendre miller,kendre miller,True
Bryce Young,Bryce,Young,,QB,CAR,bryce young,Sleeper,232.0,,,,232,2026-09-05,bryce young,bryce young,True
Brashard Smith,Brashard,Smith,,RB,KC,brashard smith,Sleeper,233.0,,,,233,2026-09-05,brashard smith,brashard smith,True
Tyreek Hill,Tyreek,Hill,,WR,FA,tyreek hill,Sleeper,234.0,,,,234,2026-09-05,tyreek hill,tyreek hill,True
Pat Bryant,Pat,Bryant,,WR,DEN,pat bryant,Sleeper,235.0,,,,235,2026-09-05,pat bryant,pat bryant,True
Joe Mixon,Joe,Mixon,,RB,FA,joe mixon,Sleeper,236.0,,,,236,2026-09-05,joe mixon,joe mixon,True
Isaac TeSlaa,Isaac,TeSlaa,,WR,DET,isaac teslaa,Sleeper,237.0,,,,237,2026-09-05,isaac teslaa,isaac teslaa,True
Cairo Santos,Cairo,Santos,,K,CHI,cairo santos,Sleeper,238.0,,,,238,2026-09-05,cairo santos,cairo santos,True
Michael Penix Jr.,Michael,Penix,JR,QB,ATL,michael penix,Sleeper,239.0,,,,239,2026-09-05,michael penix,michael penix jr,True
Jaydon Blue,Jaydon,Blue,,RB,PHI,jaydon blue,Sleeper,241.0,,,,241,2026-09-05,jaydon blue,jaydon blue,True
Tory Horton,Tory,Horton,,WR,SEA,tory horton,Sleeper,242.0,,,,242,2026-09-05,tory horton,tory horton,True
Aaron Rodgers,Aaron,Rodgers,,QB,PIT,aaron rodgers,Sleeper,243.0,,,,243,2026-09-05,aaron rodgers,aaron rodgers,True
Cameron Ward,Cameron,Ward,,QB,TEN,cameron ward,Sleeper,244.0,,,,244,2026-09-05,cameron ward,cameron ward,True
Elijah Sarratt,Elijah,Sarratt,,WR,BAL,elijah sarratt,Sleeper,245.0,,,,245,2026-09-05,elijah sarratt,elijah sarratt,True
Chimere Dike,Chimere,Dike,,WR,TEN,chimere dike,Sleeper,246.0,,,,246,2026-09-05,chimere dike,chimere dike,True
Greg Dulcich,Greg,Dulcich,,TE,MIA,greg dulcich,Sleeper,247.0,,,,247,2026-09-05,greg dulcich,greg dulcich,True
Germie Bernard,Germie,Bernard,,WR,PIT,germie bernard,Sleeper,248.0,,,,248,2026-09-05,germie bernard,germie bernard,True
James Conner,James,Conner,,RB,ARI,james conner,Sleeper,249.0,,,,249,2026-09-05,james conner,james conner,True
Tre Harris,Tre,Harris,,WR,LAC,tre harris,Sleeper,250.0,,,,250,2026-09-05,tre harris,tre harris,True
Ryan Flournoy,Ryan,Flournoy,,WR,DAL,ryan flournoy,Sleeper,251.0,,,,251,2026-09-05,ryan flournoy,ryan flournoy,True
Adonai Mitchell,Adonai,Mitchell,,WR,NYJ,adonai mitchell,Sleeper,253.0,,,,252,2026-09-05,adonai mitchell,adonai mitchell,True
Theo Johnson,Theo,Johnson,,TE,NYG,theo johnson,Sleeper,256.0,,,,253,2026-09-05,theo johnson,theo johnson,True
Rashod Bateman,Rashod,Bateman,,WR,BAL,rashod bateman,Sleeper,258.0,,,,255,2026-09-05,rashod bateman,rashod bateman,True
Cade Otton,Cade,Otton,,TE,TB,cade otton,Sleeper,260.0,,,,256,2026-09-05,cade otton,cade otton,True
Gunnar Helm,Gunnar,Helm,,TE,TEN,gunnar helm,Sleeper,261.0,,,,257,2026-09-05,gunnar helm,gunnar helm,True
Keon Coleman,Keon,Coleman,,WR,BUF,keon coleman,Sleeper,263.0,,,,258,2026-09-05,keon coleman,keon coleman,True
Antonio Williams,Antonio,Williams,,WR,WAS,antonio williams,Sleeper,265.0,,,,259,2026-09-05,antonio williams,antonio williams,True
Shedeur Sanders,Shedeur,Sanders,,QB,CLE,shedeur sanders,Sleeper,268.0,,,,260,2026-09-05,shedeur sanders,shedeur sanders,True
Tua Tagovailoa,Tua,Tagovailoa,,QB,ATL,tua tagovailoa,Sleeper,269.0,,,,261,2026-09-05,tua tagovailoa,tua tagovailoa,True
Anthony Miller,Anthony,Miller,,WR,BAL,anthony miller,Sleeper,270.0,,,,262,2026-09-05,anthony miller,anthony miller,True
Audric Estime,Audric,Estime,,RB,NO,audric estime,Sleeper,272.0,,,,263,2026-09-05,audric estime,audric estime,True
Kimani Vidal,Kimani,Vidal,,RB,LAC,kimani vidal,Sleeper,273.0,,,,264,2026-09-05,kimani vidal,kimani vidal,True
Tre'Quan Smith,Tre'Quan,Smith,,WR,DET,trequan smith,Sleeper,274.0,,,,265,2026-09-05,trequan smith,trequan smith,True
Jack Bech,Jack,Bech,,WR,LV,jack bech,Sleeper,276.0,,,,266,2026-09-05,jack bech,jack bech,True
Eli Stowers,Eli,Stowers,,TE,PHI,eli stowers,Sleeper,279.0,,,,269,2026-09-05,eli stowers,eli stowers,True
Kaytron Allen,Kaytron,Allen,,RB,WAS,kaytron allen,Sleeper,282.0,,,,270,2026-09-05,kaytron allen,kaytron allen,True
Ted Hurst,Ted,Hurst,,WR,TB,ted hurst,Sleeper,283.0,,,,271,2026-09-05,ted hurst,ted hurst,True
Devaughn Vele,Devaughn,Vele,,WR,NO,devaughn vele,Sleeper,284.0,,,,272,2026-09-05,devaughn vele,devaughn vele,True
Pat Freiermuth,Pat,Freiermuth,,TE,PIT,pat freiermuth,Sleeper,285.0,,,,273,2026-09-05,pat freiermuth,pat freiermuth,True
Jarquez Hunter,Jarquez,Hunter,,RB,FA,jarquez hunter,Sleeper,288.0,,,,274,2026-09-05,jarquez hunter,jarquez hunter,True
Chris Bell,Chris,Bell,,WR,MIA,chris bell,Sleeper,289.0,,,,275,2026-09-05,chris bell,chris bell,True
Jake Tonges,Jake,Tonges,,TE,SF,jake tonges,Sleeper,294.0,,,,277,2026-09-05,jake tonges,jake tonges,True
Elic Ayomanor,Elic,Ayomanor,,WR,TEN,elic ayomanor,Sleeper,295.0,,,,278,2026-09-05,elic ayomanor,elic ayomanor,True
Christian Kirk,Christian,Kirk,,WR,SF,christian kirk,Sleeper,296.0,,,,279,2026-09-05,christian kirk,christian kirk,True
Ty Simpson,Ty,Simpson,,QB,LAR,ty simpson,Sleeper,297.0,,,,280,2026-09-05,ty simpson,ty simpson,True
Troy Franklin,Troy,Franklin,,WR,DEN,troy franklin,Sleeper,298.0,,,,281,2026-09-05,troy franklin,troy franklin,True
