ADP Rank,ADP,Player,Team,Pos,Pos Rank,Match Key,Source,Format,Date Pulled
265,274.0,Tre'Quan Smith,DET,WR,WR93,trequan smith|WR,Sleeper,PPR,2026-09-05
266,276.0,Jack Bech,LVR,WR,WR94,jack bech|WR,Sleeper,PPR,2026-09-05
267,277.0,Carolina Panthers,CAR,DEF,DEF22,carolina panthers|DEF,Sleeper,PPR,2026-09-05
268,278.0,New York Giants,NYG,DEF,DEF23,new york giants|DEF,Sleeper,PPR,2026-09-05
269,279.0,Eli Stowers,PHI,TE,TE32,eli stowers|TE,Sleeper,PPR,2026-09-05
270,282.0,Kaytron Allen,WAS,RB,RB71,kaytron allen|RB,Sleeper,PPR,2026-09-05
271,283.0,Ted Hurst,TB,WR,WR95,ted hurst|WR,Sleeper,PPR,2026-09-05
272,284.0,Devaughn Vele,NO,WR,WR96,devaughn vele|WR,Sleeper,PPR,2026-09-05
273,285.0,Pat Freiermuth,PIT,TE,TE33,pat freiermuth|TE,Sleeper,PPR,2026-09-05
274,288.0,Jarquez Hunter,UNS,RB,RB72,jarquez hunter|RB,Sleeper,PPR,2026-09-05
275,289.0,Chris Bell,MIA,WR,WR97,chris bell|WR,Sleeper,PPR,2026-09-05
276,293.0,Cincinnati Bengals,CIN,DEF,DEF24,cincinnati bengals|DEF,Sleeper,PPR,2026-09-05
277,294.0,Jake Tonges,SF,TE,TE34,jake tonges|TE,Sleeper,PPR,2026-09-05
278,295.0,Elic Ayomanor,TEN,WR,WR98,elic ayomanor|WR,Sleeper,PPR,2026-09-05
279,296.0,Christian Kirk,SF,WR,WR99,christian kirk|WR,Sleeper,PPR,2026-09-05
280,297.0,Ty Simpson,LAR,QB,QB33,ty simpson|QB,Sleeper,PPR,2026-09-05
281,298.0,Troy Franklin,DEN,WR,WR100,troy franklin|WR,Sleeper,PPR,2026-09-05
